"","scores_adabag","scores_svm","scores_rf"
"920",0.5,0.5,0.5
"921",1,1,1
"922",1,1,1
"923",1,1,1
"924",0.5,0.5,0.5
"925",0.5,0,0.5
"926",0.5,0.5,0.5
"927",0.5,0.5,0.5
"928",1,1,1
"929",0.5,0.5,0.5
"930",0.5,0.5,0.5
"931",1,1,1
"932",0.5,0.5,0.5
"933",0.5,0.5,0.5
"934",0.5,0.5,0.5
"935",0.5,0.5,0.5
"936",0.5,0.5,0.5
"937",0.5,0.5,1
"938",1,1,0.5
"939",0.5,1,1
"940",0.5,1,1
"941",0.5,0.5,0.5
"942",0.5,0.5,0.5
"943",1,0.5,0.5
"944",0.5,0.5,0.5
"945",1,1,1
"946",0,0,0.5
"947",0.5,0.5,0.5
"948",0.5,0.5,0.5
"949",1,1,1
"950",1,1,1
"951",0.5,1,1
"952",1,1,1
"953",1,1,1
"954",0.5,0.5,0.5
"955",0.5,0.5,0.5
"956",0.5,1,1
"957",1,1,1
"958",1,1,1
"959",1,1,1
"960",1,1,1
"961",1,1,1
"962",0.5,0.5,0.5
"963",1,1,1
"964",0.5,0.5,0.5
"965",0.5,0.5,0.5
"966",0.5,0.5,0.5
"967",0.5,0.5,0.5
"968",1,1,1
"969",1,1,1
"970",0.5,0.5,0.5
"971",0.5,0.5,1
"972",0.5,0.5,0.5
"973",0.5,0.5,0.5
"974",0.5,0.5,0.5
"975",1,1,1
"976",0.5,0.5,0.5
"977",0.5,0.5,0.5
"978",0.5,0.5,0.5
"979",1,1,1
"980",0.5,0.5,0.5
"981",0.5,0.5,0.5
"982",0.5,0.5,0.5
"983",0.5,1,1
"984",0.5,0.5,0.5
"985",1,1,1
"986",0.5,0.5,0.5
"987",0.5,1,0.5
"988",0.5,0.5,0.5
"989",0.5,0.5,0.5
"990",0.5,1,1
"991",0.5,0.5,0.5
"992",1,1,1
"993",0,0.5,0
"994",0.5,0.5,0.5
"995",0.5,1,1
"996",0.5,0.5,0.5
